filename,content,sentiment,score,keywords,summary
comments.json,This product exceeded my expectations. Highly recommended!,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Poor quality, broke after just one use. Very disappointed.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Decent value for the price. Works as described.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Absolutely love this! It's become an essential part of my daily routine.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Not worth the money. I've had better experiences with cheaper alternatives.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The design is sleek and modern. Very happy with my purchase.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Takes a while to get used to, but works well once you figure it out.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Terrible customer service. Would not buy from this brand again.,negative,2,"['bad', 'quality']",快速分析结果
comments.json,Fast shipping and exactly what I ordered. Satisfied customer here.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"The instructions were confusing, but I managed to set it up eventually.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Durable and well-made. Seems like it will last a long time.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Way too expensive for what it is. Save your money.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Works perfectly! No complaints whatsoever.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Arrived damaged, but the company sent a replacement quickly.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,"I've tried several similar products, and this one is the best by far.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Meh, it's okay. Nothing special but gets the job done.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Incredibly useful gadget. Makes my life so much easier.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Stopped working after a week. Complete waste of money.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Great product at a great price. Very satisfied.,positive,4,"['good', 'quality']",快速分析结果
comments.json,"The color is slightly different from the picture, but still nice.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Highly functional and easy to use. Five stars from me!,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The size is perfect for my needs. Very convenient.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Not as described. Very misleading product information.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Love the features! This does everything I need and more.,positive,4,"['good', 'quality']",快速分析结果
comments.json,"Cheap materials, feels flimsy in hand.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Delivery was on time and the product was well-packaged.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Took longer to arrive than expected, but worth the wait.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,I would definitely buy this again. Great purchase.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Disappointed with the performance. Doesn't live up to claims.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Simple to operate but very effective. Recommended.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The battery life is amazing! Lasts much longer than I anticipated.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Hard to clean. That's my only complaint.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Looks even better in person than in the photos.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Way smaller than I thought it would be. Not useful for my needs.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Works exactly as advertised. Very happy with it.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Makes a strange noise when in use. Kinda concerning.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Excellent customer support when I had questions.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Overpriced for the quality. You can find better options.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Compact design saves space. Perfect for small apartments.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The instructions were clear and setup was a breeze.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Started malfunctioning after a month. Poor quality control.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,This has quickly become my favorite purchase this year.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Not durable at all. Mine broke with normal use.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Good product, but could be improved with a few tweaks.",positive,4,"['good', 'quality']",快速分析结果
comments.json,"Very versatile, can be used in multiple ways.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,I regret buying this. It's just collecting dust now.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The quality is impressive for the price point.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Takes up too much space. Not practical for everyday use.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,I get compliments on this all the time. Looks great!,positive,4,"['good', 'quality']",快速分析结果
comments.json,Doesn't work as well as I hoped. Very underwhelming.,neutral,3,"['average', 'okay']",快速分析结果
